Sr.No,Salt Name,Formula,Composition,Molecular Weight (g/mol),Valency (eq per mole),Equivalent Weight (g/eq),Molarity ,Normality,Volume (ml),Volume (L),Molar solution Weight  (g),Normal solution Weight (g)
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.25,0.25,25,0.025,0.743764375,0.743764375
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.25,0.25,50,0.05,1.48752875,1.48752875
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.25,0.25,100,0.1,2.9750575,2.9750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.25,0.25,250,0.25,7.43764375,7.43764375
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.25,0.25,500,0.5,14.8752875,14.8752875
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.25,0.25,1000,1,29.750575,29.750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.5,0.5,25,0.025,1.48752875,1.48752875
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.5,0.5,50,0.05,2.9750575,2.9750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.5,0.5,100,0.1,5.950115,5.950115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.5,0.5,250,0.25,14.8752875,14.8752875
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.5,0.5,500,0.5,29.750575,29.750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,0.5,0.5,1000,1,59.50115,59.50115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,1,1,25,0.025,2.9750575,2.9750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,1,1,50,0.05,5.950115,5.950115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,1,1,100,0.1,11.90023,11.90023
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,1,1,250,0.25,29.750575,29.750575
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,1,1,500,0.5,59.50115,59.50115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,1,1,1000,1,119.0023,119.0023
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,2,2,25,0.025,5.950115,5.950115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,2,2,50,0.05,11.90023,11.90023
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,2,2,100,0.1,23.80046,23.80046
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,2,2,250,0.25,59.50115,59.50115
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,2,2,500,0.5,119.0023,119.0023
8,Potassium Bromide,KBr,K1; Br1,119.0023,1,119.0023,2,2,1000,1,238.0046,238.0046
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.1,0.1,25,0.025,0.6242125,0.31210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.1,0.1,50,0.05,1.248425,0.6242125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.1,0.1,100,0.1,2.49685,1.248425
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.1,0.1,250,0.25,6.242125,3.1210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.1,0.1,500,0.5,12.48425,6.242125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.1,0.1,1000,1,24.9685,12.48425
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.25,0.25,25,0.025,1.56053125,0.780265625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.25,0.25,50,0.05,3.1210625,1.56053125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.25,0.25,100,0.1,6.242125,3.1210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.25,0.25,250,0.25,15.6053125,7.80265625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.25,0.25,500,0.5,31.210625,15.6053125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.25,0.25,1000,1,62.42125,31.210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.5,0.5,25,0.025,3.1210625,1.56053125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.5,0.5,50,0.05,6.242125,3.1210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.5,0.5,100,0.1,12.48425,6.242125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.5,0.5,250,0.25,31.210625,15.6053125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.5,0.5,500,0.5,62.42125,31.210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,0.5,0.5,1000,1,124.8425,62.42125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,1,1,25,0.025,6.242125,3.1210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,1,1,50,0.05,12.48425,6.242125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,1,1,100,0.1,24.9685,12.48425
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,1,1,250,0.25,62.42125,31.210625
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,1,1,500,0.5,124.8425,62.42125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,1,1,1000,1,249.685,124.8425
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,2,2,25,0.025,12.48425,6.242125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,2,2,50,0.05,24.9685,12.48425
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,2,2,100,0.1,49.937,24.9685
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,2,2,250,0.25,124.8425,62.42125
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,2,2,500,0.5,249.685,124.8425
9,Cupric Sulphate Pentahydrate,CuSO4·5H2O,Cu1; S1; O9; H10,249.685,2,124.8425,2,2,1000,1,499.37,249.685
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.1,0.1,25,0.025,0.7189,0.35945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.1,0.1,50,0.05,1.4378,0.7189
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.1,0.1,100,0.1,2.8756,1.4378
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.1,0.1,250,0.25,7.189,3.5945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.1,0.1,500,0.5,14.378,7.189
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.1,0.1,1000,1,28.756,14.378
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.25,0.25,25,0.025,1.79725,0.898625
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.25,0.25,50,0.05,3.5945,1.79725
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.25,0.25,100,0.1,7.189,3.5945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.25,0.25,250,0.25,17.9725,8.98625
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.25,0.25,500,0.5,35.945,17.9725
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.25,0.25,1000,1,71.89,35.945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.5,0.5,25,0.025,3.5945,1.79725
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.5,0.5,50,0.05,7.189,3.5945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.5,0.5,100,0.1,14.378,7.189
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.5,0.5,250,0.25,35.945,17.9725
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.5,0.5,500,0.5,71.89,35.945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,0.5,0.5,1000,1,143.78,71.89
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,1,1,25,0.025,7.189,3.5945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,1,1,50,0.05,14.378,7.189
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,1,1,100,0.1,28.756,14.378
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,1,1,250,0.25,71.89,35.945
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,1,1,500,0.5,143.78,71.89
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,1,1,1000,1,287.56,143.78
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,2,2,25,0.025,14.378,7.189
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,2,2,50,0.05,28.756,14.378
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,2,2,100,0.1,57.512,28.756
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,2,2,250,0.25,143.78,71.89
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,2,2,500,0.5,287.56,143.78
10,Zinc Sulphate Heptahydrate,ZnSO4·7H2O,Zn1; S1; O11; H7,287.56,2,143.78,2,2,1000,1,575.12,287.56
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.1,0.1,25,0.025,0.9306,0.4653
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.1,0.1,50,0.05,1.8612,0.9306
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.1,0.1,100,0.1,3.7224,1.8612
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.1,0.1,250,0.25,9.306,4.653
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.1,0.1,500,0.5,18.612,9.306
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.1,0.1,1000,1,37.224,18.612
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.25,0.25,25,0.025,2.3265,1.16325
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.25,0.25,50,0.05,4.653,2.3265
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.25,0.25,100,0.1,9.306,4.653
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.25,0.25,250,0.25,23.265,11.6325
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.25,0.25,500,0.5,46.53,23.265
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.25,0.25,1000,1,93.06,46.53
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.5,0.5,25,0.025,4.653,2.3265
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.5,0.5,50,0.05,9.306,4.653
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.5,0.5,100,0.1,18.612,9.306
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.5,0.5,250,0.25,46.53,23.265
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.5,0.5,500,0.5,93.06,46.53
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,0.5,0.5,1000,1,186.12,93.06
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,1,1,25,0.025,9.306,4.653
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,1,1,50,0.05,18.612,9.306
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,1,1,100,0.1,37.224,18.612
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,1,1,250,0.25,93.06,46.53
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,1,1,500,0.5,186.12,93.06
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,1,1,1000,1,372.24,186.12
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,2,2,25,0.025,18.612,9.306
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,2,2,50,0.05,37.224,18.612
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,2,2,100,0.1,74.448,37.224
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,2,2,250,0.25,186.12,93.06
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,2,2,500,0.5,372.24,186.12
11,Disodium dihydrogen ethylenediaminetetraacetate,C10H16N2Na2O8,C10; H16; N2; Na2; O8,372.24,2,186.12,2,2,1000,1,744.48,372.24
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.1,0.1,25,0.025,0.39508075,0.07901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.1,0.1,50,0.05,0.7901615,0.1580323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.1,0.1,100,0.1,1.580323,0.3160646
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.1,0.1,250,0.25,3.9508075,0.7901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.1,0.1,500,0.5,7.901615,1.580323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.1,0.1,1000,1,15.80323,3.160646
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.25,0.25,25,0.025,0.987701875,0.197540375
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.25,0.25,50,0.05,1.97540375,0.39508075
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.25,0.25,100,0.1,3.9508075,0.7901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.25,0.25,250,0.25,9.87701875,1.97540375
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.25,0.25,500,0.5,19.7540375,3.9508075
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.25,0.25,1000,1,39.508075,7.901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.5,0.5,25,0.025,1.97540375,0.39508075
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.5,0.5,50,0.05,3.9508075,0.7901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.5,0.5,100,0.1,7.901615,1.580323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.5,0.5,250,0.25,19.7540375,3.9508075
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.5,0.5,500,0.5,39.508075,7.901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,0.5,0.5,1000,1,79.01615,15.80323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,1,1,25,0.025,3.9508075,0.7901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,1,1,50,0.05,7.901615,1.580323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,1,1,100,0.1,15.80323,3.160646
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,1,1,250,0.25,39.508075,7.901615
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,1,1,500,0.5,79.01615,15.80323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,1,1,1000,1,158.0323,31.60646
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,2,2,25,0.025,7.901615,1.580323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,2,2,50,0.05,15.80323,3.160646
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,2,2,100,0.1,31.60646,6.321292
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,2,2,250,0.25,79.01615,15.80323
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,2,2,500,0.5,158.0323,31.60646
12,Potassium permanganate,KMnO4,K1; Mn1; O4,158.0323,5,31.60646,2,2,1000,1,316.0646,63.21292
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.1,0.1,25,0.025,0.42467975,0.42467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.1,0.1,50,0.05,0.8493595,0.8493595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.1,0.1,100,0.1,1.698719,1.698719
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.1,0.1,250,0.25,4.2467975,4.2467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.1,0.1,500,0.5,8.493595,8.493595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.1,0.1,1000,1,16.98719,16.98719
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.25,0.25,25,0.025,1.061699375,1.061699375
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.25,0.25,50,0.05,2.12339875,2.12339875
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.25,0.25,100,0.1,4.2467975,4.2467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.25,0.25,250,0.25,10.61699375,10.61699375
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.25,0.25,500,0.5,21.2339875,21.2339875
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.25,0.25,1000,1,42.467975,42.467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.5,0.5,25,0.025,2.12339875,2.12339875
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.5,0.5,50,0.05,4.2467975,4.2467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.5,0.5,100,0.1,8.493595,8.493595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.5,0.5,250,0.25,21.2339875,21.2339875
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.5,0.5,500,0.5,42.467975,42.467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,0.5,0.5,1000,1,84.93595,84.93595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,1,1,25,0.025,4.2467975,4.2467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,1,1,50,0.05,8.493595,8.493595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,1,1,100,0.1,16.98719,16.98719
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,1,1,250,0.25,42.467975,42.467975
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,1,1,500,0.5,84.93595,84.93595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,1,1,1000,1,169.8719,169.8719
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,2,2,25,0.025,8.493595,8.493595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,2,2,50,0.05,16.98719,16.98719
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,2,2,100,0.1,33.97438,33.97438
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,2,2,250,0.25,84.93595,84.93595
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,2,2,500,0.5,169.8719,169.8719
13,Silver Nitrate,AgNO3,Ag1; N1; O3,169.8719,1,169.8719,2,2,1000,1,339.7438,339.7438
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.1,0.1,25,0.025,0.735474,0.122579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.1,0.1,50,0.05,1.470948,0.245158
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.1,0.1,100,0.1,2.941896,0.490316
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.1,0.1,250,0.25,7.35474,1.22579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.1,0.1,500,0.5,14.70948,2.45158
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.1,0.1,1000,1,29.41896,4.90316
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.25,0.25,25,0.025,1.838685,0.3064475
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.25,0.25,50,0.05,3.67737,0.612895
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.25,0.25,100,0.1,7.35474,1.22579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.25,0.25,250,0.25,18.38685,3.064475
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.25,0.25,500,0.5,36.7737,6.12895
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.25,0.25,1000,1,73.5474,12.2579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.5,0.5,25,0.025,3.67737,0.612895
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.5,0.5,50,0.05,7.35474,1.22579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.5,0.5,100,0.1,14.70948,2.45158
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.5,0.5,250,0.25,36.7737,6.12895
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.5,0.5,500,0.5,73.5474,12.2579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,0.5,0.5,1000,1,147.0948,24.5158
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,1,1,25,0.025,7.35474,1.22579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,1,1,50,0.05,14.70948,2.45158
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,1,1,100,0.1,29.41896,4.90316
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,1,1,250,0.25,73.5474,12.2579
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,1,1,500,0.5,147.0948,24.5158
14,Potassium dichromate,K2Cr2O7,K2; Cr2; O7,294.1896,6,49.0316,1,1,1000,1,294.1896,49.0316
